case_id,exact_match,flow_id,frame_overhead_bytes,link_bitrate_bps,on_wire_bytes,payload_bytes,project_serialization_ns,release_offset_ns,schedule_deadline_ns,tsnkit_equivalent_size_bytes,tsnkit_serialization_ns
Q05,True,TT16,64,1000000000,244,180,1952,146000,600000,244,1952
Q05,True,TT17,64,1000000000,284,220,2272,156000,620000,284,2272
Q05,True,TT18,64,1000000000,324,260,2592,166000,640000,324,2592
Q05,True,TT19,64,1000000000,364,300,2912,175000,650000,364,2912
Q05,True,TT20,64,1000000000,404,340,3232,185000,630000,404,3232
Q05,True,TT21,64,1000000000,244,180,1952,195000,600000,244,1952
Q05,True,TT22,64,1000000000,284,220,2272,205000,620000,284,2272
Q05,True,TT23,64,1000000000,324,260,2592,214000,640000,324,2592
Q05,True,TT24,64,1000000000,364,300,2912,224000,650000,364,2912
Q05,True,TT25,64,1000000000,404,340,3232,234000,630000,404,3232
Q05,True,TT26,64,1000000000,244,180,1952,244000,600000,244,1952
Q05,True,TT27,64,1000000000,284,220,2272,253000,620000,284,2272
Q05,True,TT28,64,1000000000,324,260,2592,263000,640000,324,2592
Q05,True,TT29,64,1000000000,364,300,2912,273000,650000,364,2912
Q05,True,TT30,64,1000000000,404,340,3232,283000,630000,404,3232
Q05,True,TT31,64,1000000000,244,180,1952,292000,600000,244,1952
Q05,True,TT32,64,1000000000,284,220,2272,302000,620000,284,2272
Q05,True,TT33,64,1000000000,324,260,2592,312000,640000,324,2592
Q05,True,TT34,64,1000000000,364,300,2912,322000,650000,364,2912
Q05,True,TT35,64,1000000000,404,340,3232,331000,630000,404,3232
Q05,True,TT36,64,1000000000,244,180,1952,341000,600000,244,1952
Q05,True,TT37,64,1000000000,284,220,2272,351000,620000,284,2272
Q05,True,TT38,64,1000000000,324,260,2592,361000,640000,324,2592
Q05,True,TT39,64,1000000000,364,300,2912,370000,650000,364,2912
Q05,True,TT40,64,1000000000,404,340,3232,380000,630000,404,3232
Q06,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q06,True,TT02,64,1000000000,284,220,2272,10000,620000,284,2272
Q06,True,TT03,64,1000000000,324,260,2592,19000,640000,324,2592
Q06,True,TT04,64,1000000000,364,300,2912,29000,650000,364,2912
Q06,True,TT05,64,1000000000,404,340,3232,39000,630000,404,3232
Q06,True,TT06,64,1000000000,244,180,1952,49000,600000,244,1952
Q06,True,TT07,64,1000000000,284,220,2272,58000,620000,284,2272
Q06,True,TT08,64,1000000000,324,260,2592,68000,640000,324,2592
Q06,True,TT09,64,1000000000,364,300,2912,78000,650000,364,2912
Q06,True,TT10,64,1000000000,404,340,3232,88000,630000,404,3232
Q06,True,TT11,64,1000000000,244,180,1952,97000,600000,244,1952
Q06,True,TT12,64,1000000000,284,220,2272,107000,620000,284,2272
Q06,True,TT13,64,1000000000,324,260,2592,117000,640000,324,2592
Q06,True,TT14,64,1000000000,364,300,2912,127000,650000,364,2912
Q06,True,TT15,64,1000000000,404,340,3232,136000,630000,404,3232
Q06,True,TT16,64,1000000000,244,180,1952,146000,600000,244,1952
Q06,True,TT17,64,1000000000,284,220,2272,156000,620000,284,2272
Q06,True,TT18,64,1000000000,324,260,2592,166000,640000,324,2592
Q06,True,TT19,64,1000000000,364,300,2912,175000,650000,364,2912
Q06,True,TT20,64,1000000000,404,340,3232,185000,630000,404,3232
Q06,True,TT21,64,1000000000,244,180,1952,195000,600000,244,1952
Q06,True,TT22,64,1000000000,284,220,2272,205000,620000,284,2272
Q06,True,TT23,64,1000000000,324,260,2592,214000,640000,324,2592
Q06,True,TT24,64,1000000000,364,300,2912,224000,650000,364,2912
Q06,True,TT25,64,1000000000,404,340,3232,234000,630000,404,3232
Q06,True,TT26,64,1000000000,244,180,1952,244000,600000,244,1952
Q06,True,TT27,64,1000000000,284,220,2272,253000,620000,284,2272
Q06,True,TT28,64,1000000000,324,260,2592,263000,640000,324,2592
Q06,True,TT29,64,1000000000,364,300,2912,273000,650000,364,2912
Q06,True,TT30,64,1000000000,404,340,3232,283000,630000,404,3232
Q06,True,TT31,64,1000000000,244,180,1952,292000,600000,244,1952
Q06,True,TT32,64,1000000000,284,220,2272,302000,620000,284,2272
Q06,True,TT33,64,1000000000,324,260,2592,312000,640000,324,2592
Q06,True,TT34,64,1000000000,364,300,2912,322000,650000,364,2912
Q06,True,TT35,64,1000000000,404,340,3232,331000,630000,404,3232
Q06,True,TT36,64,1000000000,244,180,1952,341000,600000,244,1952
Q06,True,TT37,64,1000000000,284,220,2272,351000,620000,284,2272
Q06,True,TT38,64,1000000000,324,260,2592,361000,640000,324,2592
Q06,True,TT39,64,1000000000,364,300,2912,370000,650000,364,2912
Q06,True,TT40,64,1000000000,404,340,3232,380000,630000,404,3232
Q07,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q07,True,TT02,64,1000000000,284,220,2272,10000,620000,284,2272
Q07,True,TT03,64,1000000000,324,260,2592,19000,640000,324,2592
Q07,True,TT04,64,1000000000,364,300,2912,29000,650000,364,2912
Q07,True,TT05,64,1000000000,404,340,3232,39000,630000,404,3232
Q07,True,TT06,64,1000000000,244,180,1952,49000,600000,244,1952
Q07,True,TT07,64,1000000000,284,220,2272,58000,620000,284,2272
Q07,True,TT08,64,1000000000,324,260,2592,68000,640000,324,2592
Q07,True,TT09,64,1000000000,364,300,2912,78000,650000,364,2912
Q07,True,TT10,64,1000000000,404,340,3232,88000,630000,404,3232
Q07,True,TT11,64,1000000000,244,180,1952,97000,600000,244,1952
Q07,True,TT12,64,1000000000,284,220,2272,107000,620000,284,2272
Q07,True,TT13,64,1000000000,324,260,2592,117000,640000,324,2592
Q07,True,TT14,64,1000000000,364,300,2912,127000,650000,364,2912
Q07,True,TT15,64,1000000000,404,340,3232,136000,630000,404,3232
Q07,True,TT16,64,1000000000,244,180,1952,146000,600000,244,1952
Q07,True,TT17,64,1000000000,284,220,2272,156000,620000,284,2272
Q07,True,TT18,64,1000000000,324,260,2592,166000,640000,324,2592
Q07,True,TT19,64,1000000000,364,300,2912,175000,650000,364,2912
Q07,True,TT20,64,1000000000,404,340,3232,185000,630000,404,3232
Q07,True,TT21,64,1000000000,244,180,1952,195000,600000,244,1952
Q07,True,TT22,64,1000000000,284,220,2272,205000,620000,284,2272
Q07,True,TT23,64,1000000000,324,260,2592,214000,640000,324,2592
Q07,True,TT24,64,1000000000,364,300,2912,224000,650000,364,2912
Q07,True,TT25,64,1000000000,404,340,3232,234000,630000,404,3232
Q07,True,TT26,64,1000000000,244,180,1952,244000,600000,244,1952
Q07,True,TT27,64,1000000000,284,220,2272,253000,620000,284,2272
Q07,True,TT28,64,1000000000,324,260,2592,263000,640000,324,2592
Q07,True,TT29,64,1000000000,364,300,2912,273000,650000,364,2912
Q07,True,TT30,64,1000000000,404,340,3232,283000,630000,404,3232
Q07,True,TT31,64,1000000000,244,180,1952,292000,600000,244,1952
Q07,True,TT32,64,1000000000,284,220,2272,302000,620000,284,2272
Q07,True,TT33,64,1000000000,324,260,2592,312000,640000,324,2592
Q07,True,TT34,64,1000000000,364,300,2912,322000,650000,364,2912
Q07,True,TT35,64,1000000000,404,340,3232,331000,630000,404,3232
Q07,True,TT36,64,1000000000,244,180,1952,341000,600000,244,1952
Q07,True,TT37,64,1000000000,284,220,2272,351000,620000,284,2272
Q07,True,TT38,64,1000000000,324,260,2592,361000,640000,324,2592
Q07,True,TT39,64,1000000000,364,300,2912,370000,650000,364,2912
Q07,True,TT40,64,1000000000,404,340,3232,380000,630000,404,3232
Q08,True,TT01,64,1000000000,244,180,1952,0,600000,244,1952
Q08,True,TT02,64,1000000000,284,220,2272,10000,620000,284,2272
Q08,True,TT03,64,1000000000,324,260,2592,19000,640000,324,2592
Q08,True,TT04,64,1000000000,364,300,2912,29000,650000,364,2912
Q08,True,TT05,64,1000000000,404,340,3232,39000,630000,404,3232
Q08,True,TT06,64,1000000000,244,180,1952,49000,600000,244,1952
Q08,True,TT07,64,1000000000,284,220,2272,58000,620000,284,2272
Q08,True,TT08,64,1000000000,324,260,2592,68000,640000,324,2592
Q08,True,TT09,64,1000000000,364,300,2912,78000,650000,364,2912
Q08,True,TT10,64,1000000000,404,340,3232,88000,630000,404,3232
Q08,True,TT11,64,1000000000,244,180,1952,97000,600000,244,1952
Q08,True,TT12,64,1000000000,284,220,2272,107000,620000,284,2272
Q08,True,TT13,64,1000000000,324,260,2592,117000,640000,324,2592
Q08,True,TT14,64,1000000000,364,300,2912,127000,650000,364,2912
Q08,True,TT15,64,1000000000,404,340,3232,136000,630000,404,3232
Q08,True,TT16,64,1000000000,244,180,1952,146000,600000,244,1952
Q08,True,TT17,64,1000000000,284,220,2272,156000,620000,284,2272
Q08,True,TT18,64,1000000000,324,260,2592,166000,640000,324,2592
Q08,True,TT19,64,1000000000,364,300,2912,175000,650000,364,2912
Q08,True,TT20,64,1000000000,404,340,3232,185000,630000,404,3232
Q08,True,TT21,64,1000000000,244,180,1952,195000,600000,244,1952
Q08,True,TT22,64,1000000000,284,220,2272,205000,620000,284,2272
Q08,True,TT23,64,1000000000,324,260,2592,214000,640000,324,2592
Q08,True,TT24,64,1000000000,364,300,2912,224000,650000,364,2912
Q08,True,TT25,64,1000000000,404,340,3232,234000,630000,404,3232
Q08,True,TT26,64,1000000000,244,180,1952,244000,600000,244,1952
Q08,True,TT27,64,1000000000,284,220,2272,253000,620000,284,2272
