scenario,policy_id,candidate_group_id,member_faults,member_count,min_pairwise_jaccard,mean_pairwise_jaccard,max_edge_distance,predicted_profile_count,pre_fault_only
mesh10_auto,JE060_D2,G0007,l_sw8_sw10,1,1.0,1.0,0,1,True
mesh10_auto,JE060_D2,G0008,l_sw8_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0001,l_sw1_sw2,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0002,l_sw1_sw3,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0003,l_sw2_sw3,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0004,l_sw2_sw5;l_sw5_sw8,2,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0005,l_sw3_sw4;l_sw4_sw7,2,0.8,0.8,0,1,True
mesh10_auto,JE040_D0,G0006,l_sw4_sw6;l_sw6_sw8,2,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0007,l_sw7_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0008,l_sw8_sw10,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D0,G0009,l_sw8_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D1,G0001,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,3,0.6666666666666666,0.7777777777777777,1,1,True
mesh10_auto,JE040_D1,G0002,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,3,0.4,0.5666666666666668,1,1,True
mesh10_auto,JE040_D1,G0003,l_sw2_sw3,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D1,G0004,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,3,0.5,0.6666666666666666,1,1,True
mesh10_auto,JE040_D1,G0005,l_sw7_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D1,G0006,l_sw8_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D2,G0001,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,3,0.6666666666666666,0.7777777777777777,1,1,True
mesh10_auto,JE040_D2,G0002,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,3,0.4,0.5666666666666668,1,1,True
mesh10_auto,JE040_D2,G0003,l_sw2_sw3,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D2,G0004,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,3,0.5,0.6666666666666666,1,1,True
mesh10_auto,JE040_D2,G0005,l_sw7_sw9,1,1.0,1.0,0,1,True
mesh10_auto,JE040_D2,G0006,l_sw8_sw9,1,1.0,1.0,0,1,True
