level,policy_id,group_key,member_count,raw_status,graph_connected,connectivity_margin_min,connectivity_margin_mean,split_depth,validation_status
R1_CURRENT,J040,l_sw13_sw21;l_sw21_sw29,2,SHARED_SAT,True,2,2.9,0,PASS
R1_CURRENT,J040,l_sw17_sw18;l_sw18_sw19,2,SHARED_SAT,True,2,2,0,PASS
R1_CURRENT,J040,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,3,3,0,PASS
R1_CURRENT,J040,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,3,3,0,PASS
R1_CURRENT,J040,l_sw23_sw31;l_sw31_sw39,2,SHARED_SAT,True,2,2,0,PASS
R1_CURRENT,J100,l_sw01_sw02;l_sw02_sw03,2,SHARED_SAT,True,2,2.25,0,PASS
R1_CURRENT,J100,l_sw03_sw04;l_sw04_sw05,2,SHARED_SAT,True,2,2.75,0,PASS
R1_CURRENT,J100,l_sw05_sw06;l_sw06_sw07,2,SHARED_SAT,True,2,2.5,0,PASS
R1_CURRENT,J100,l_sw09_sw10;l_sw10_sw11,2,SHARED_SAT,True,2,2,0,PASS
R1_CURRENT,J100,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,2,3,0,PASS
R1_CURRENT,J100,l_sw13_sw14;l_sw14_sw15,2,SHARED_SAT,True,2,2.75,0,PASS
R1_CURRENT,J100,l_sw17_sw18;l_sw18_sw19,2,SHARED_SAT,True,2,2,0,PASS
R1_CURRENT,J100,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,3,3,0,PASS
R1_CURRENT,J100,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,3,3,0,PASS
R2_D4,J020,l_sw01_sw02;l_sw01_sw09;l_sw02_sw03,3,SHARED_SAT,True,1,1.6666666666666667,0,PASS
R2_D4,J020,l_sw03_sw04;l_sw04_sw05;l_sw05_sw06;l_sw06_sw07,4,SHARED_SAT,True,2,2.5,0,PASS
R2_D4,J020,l_sw03_sw11;l_sw11_sw19,2,SHARED_SAT,True,2,3,0,PASS
R2_D4,J020,l_sw05_sw13;l_sw13_sw21;l_sw21_sw29,3,SHARED_SAT,True,2,2.9,0,PASS
R2_D4,J020,l_sw07_sw15;l_sw15_sw23,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J020,l_sw11_sw12;l_sw12_sw13;l_sw13_sw14;l_sw14_sw15,4,SHARED_SAT,True,2,3,0,PASS
R2_D4,J020,l_sw09_sw17;l_sw17_sw25;l_sw25_sw33,3,SHARED_SAT,True,2,2,0,PASS
R2_D4,J020,l_sw19_sw20;l_sw20_sw21;l_sw21_sw22;l_sw22_sw23,4,SHARED_SAT,True,2,3,0,PASS
R2_D4,J020,l_sw23_sw31;l_sw31_sw39,2,SHARED_SAT,True,2,2,0,PASS
R2_D4,J040,l_sw01_sw02;l_sw02_sw03,2,SHARED_SAT,True,2,2.5,0,PASS
R2_D4,J040,l_sw03_sw04;l_sw04_sw05,2,SHARED_SAT,True,2,3,0,PASS
R2_D4,J040,l_sw05_sw06;l_sw06_sw07,2,SHARED_SAT,True,3,3,0,PASS
R2_D4,J040,l_sw07_sw15;l_sw15_sw23,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J040,l_sw09_sw17;l_sw17_sw25,2,SHARED_SAT,True,2,2.5555555555555554,0,PASS
R2_D4,J040,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J040,l_sw13_sw14;l_sw14_sw15,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J040,l_sw13_sw21;l_sw21_sw29,2,SHARED_SAT,True,2,3.2,0,PASS
R2_D4,J040,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,3,3.5,0,PASS
R2_D4,J040,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,3,3,0,PASS
R2_D4,J040,l_sw23_sw31;l_sw31_sw39,2,SHARED_SAT,True,2,2,0,PASS
R2_D4,J100,l_sw01_sw02;l_sw02_sw03,2,SHARED_SAT,True,2,2.5,0,PASS
R2_D4,J100,l_sw03_sw04;l_sw04_sw05,2,SHARED_SAT,True,2,3,0,PASS
R2_D4,J100,l_sw05_sw06;l_sw06_sw07,2,SHARED_SAT,True,3,3,0,PASS
R2_D4,J100,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J100,l_sw13_sw14;l_sw14_sw15,2,SHARED_SAT,True,3,3.25,0,PASS
R2_D4,J100,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,3,3.5,0,PASS
R2_D4,J100,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,3,3,0,PASS
R3_D5,J020,l_sw03_sw11;l_sw11_sw19,2,SHARED_SAT,True,3,4.125,0,PASS
R3_D5,J020,l_sw05_sw13;l_sw13_sw21;l_sw21_sw29,3,SHARED_SAT,True,3,3.7,0,PASS
R3_D5,J020,l_sw07_sw15;l_sw15_sw23,2,FORWARDING_CONFLICT,True,4,4.5,0,NOT_RUN
R3_D5,J020,l_sw11_sw12;l_sw12_sw13;l_sw13_sw14;l_sw14_sw15,4,SHARED_SAT,True,3,4.166666666666667,0,PASS
R3_D5,J020,l_sw19_sw20;l_sw20_sw21;l_sw21_sw22;l_sw22_sw23,4,SHARED_SAT,True,3,4,0,PASS
R3_D5,J020,l_sw23_sw31;l_sw31_sw39,2,SHARED_SAT,True,3,3.5,0,PASS
R3_D5,J040,l_sw07_sw15;l_sw15_sw23,2,FORWARDING_CONFLICT,True,4,4.5,0,NOT_RUN
R3_D5,J040,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,4,4.5,0,PASS
R3_D5,J040,l_sw13_sw14;l_sw14_sw15,2,SHARED_SAT,True,4,4.75,0,PASS
R3_D5,J040,l_sw13_sw21;l_sw21_sw29,2,SHARED_SAT,True,3,3.9,0,PASS
R3_D5,J040,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,4,4.5,0,PASS
R3_D5,J040,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,4,4.5,0,PASS
R3_D5,J040,l_sw23_sw31;l_sw31_sw39,2,SHARED_SAT,True,3,3.5,0,PASS
R3_D5,J100,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,4,4.5,0,PASS
R3_D5,J100,l_sw13_sw14;l_sw14_sw15,2,SHARED_SAT,True,4,4.75,0,PASS
R3_D5,J100,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,4,4.5,0,PASS
R3_D5,J100,l_sw21_sw22;l_sw22_sw23,2,SHARED_SAT,True,4,4.5,0,PASS
R4_D6,J020,l_sw03_sw11;l_sw11_sw19,2,SHARED_SAT,True,4,5.125,0,PASS
R4_D6,J020,l_sw05_sw13;l_sw13_sw21;l_sw21_sw29,3,SHARED_SAT,True,4,4.7,0,PASS
R4_D6,J020,l_sw07_sw15;l_sw15_sw23,2,SHARED_SAT,True,4,5,0,PASS
R4_D6,J020,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,5,5.25,0,PASS
R4_D6,J020,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,6,6,0,PASS
R4_D6,J040,l_sw07_sw15;l_sw15_sw23,2,SHARED_SAT,True,4,5,0,PASS
R4_D6,J040,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,5,5.25,0,PASS
R4_D6,J040,l_sw13_sw21;l_sw21_sw29,2,SHARED_SAT,True,4,4.9,0,PASS
R4_D6,J040,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,6,6,0,PASS
R4_D6,J100,l_sw11_sw12;l_sw12_sw13,2,SHARED_SAT,True,5,5.25,0,PASS
R4_D6,J100,l_sw19_sw20;l_sw20_sw21,2,SHARED_SAT,True,6,6,0,PASS
