P0_route_links_abandoned,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,scenario,total_P0_hops,total_PF_hops
l_SW_C04_M01_ACT_SW_C04_M01_CTRL,12,12,0.03409090909090909,0,0.0,l_SW_C04_M01_ACT_SW_C04_M01_CTRL,852,78,71.0,,M_RING,1392,2244
l_SW_C04_M01_CTRL_SW_C04_M01_SENS,14,14,0.03977272727272727,0,0.0,l_SW_C04_M01_CTRL_SW_C04_M01_SENS,1012,78,72.28571428571429,,M_RING,1392,2404
l_SW_C04_M01_SENS_SW_C04_M02_ACT,6,6,0.017045454545454544,0,0.0,l_SW_C04_M01_SENS_SW_C04_M02_ACT,388,70,64.66666666666667,,M_RING,1392,1780
l_SW_C04_M02_ACT_SW_C04_M02_CTRL,10,10,0.028409090909090908,0,0.0,l_SW_C04_M02_ACT_SW_C04_M02_CTRL,700,78,70.0,,M_RING,1392,2092
l_SW_C04_M02_CTRL_SW_C04_M02_SENS,12,12,0.03409090909090909,0,0.0,l_SW_C04_M02_CTRL_SW_C04_M02_SENS,872,78,72.66666666666667,,M_RING,1392,2264
l_SW_C04_M02_SENS_SW_C04_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C04_M02_SENS_SW_C04_M03_ACT,248,64,62.0,,M_RING,1392,1640
l_SW_C04_M03_ACT_SW_C04_M03_CTRL,8,8,0.022727272727272728,0,0.0,l_SW_C04_M03_ACT_SW_C04_M03_CTRL,560,78,70.0,,M_RING,1392,1952
l_SW_C04_M03_CTRL_SW_C04_M03_SENS,10,10,0.028409090909090908,0,0.0,l_SW_C04_M03_CTRL_SW_C04_M03_SENS,744,78,74.4,,M_RING,1392,2136
l_SW_C04_M03_SENS_SW_C05_CC,2,2,0.005681818181818182,0,0.0,l_SW_C04_M03_SENS_SW_C05_CC,120,60,60.0,,M_RING,1392,1512
l_SW_C05_CC_SW_C05_M01_ACT,8,8,0.022727272727272728,0,0.0,l_SW_C05_CC_SW_C05_M01_ACT,540,76,67.5,,M_RING,1392,1932
l_SW_C05_M01_ACT_SW_C05_M01_CTRL,12,12,0.03409090909090909,0,0.0,l_SW_C05_M01_ACT_SW_C05_M01_CTRL,852,78,71.0,,M_RING,1392,2244
l_SW_C05_M01_CTRL_SW_C05_M01_SENS,14,14,0.03977272727272727,0,0.0,l_SW_C05_M01_CTRL_SW_C05_M01_SENS,1012,78,72.28571428571429,,M_RING,1392,2404
l_SW_C05_M01_SENS_SW_C05_M02_ACT,6,6,0.017045454545454544,0,0.0,l_SW_C05_M01_SENS_SW_C05_M02_ACT,388,70,64.66666666666667,,M_RING,1392,1780
l_SW_C05_M02_ACT_SW_C05_M02_CTRL,10,10,0.028409090909090908,0,0.0,l_SW_C05_M02_ACT_SW_C05_M02_CTRL,700,78,70.0,,M_RING,1392,2092
l_SW_C05_M02_CTRL_SW_C05_M02_SENS,12,12,0.03409090909090909,0,0.0,l_SW_C05_M02_CTRL_SW_C05_M02_SENS,872,78,72.66666666666667,,M_RING,1392,2264
l_SW_C05_M02_SENS_SW_C05_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C05_M02_SENS_SW_C05_M03_ACT,248,64,62.0,,M_RING,1392,1640
l_SW_C05_M03_ACT_SW_C05_M03_CTRL,8,8,0.022727272727272728,0,0.0,l_SW_C05_M03_ACT_SW_C05_M03_CTRL,560,78,70.0,,M_RING,1392,1952
l_SW_C05_M03_CTRL_SW_C05_M03_SENS,10,10,0.028409090909090908,0,0.0,l_SW_C05_M03_CTRL_SW_C05_M03_SENS,744,78,74.4,,M_RING,1392,2136
l_SW_C05_M03_SENS_SW_C06_CC,2,2,0.005681818181818182,0,0.0,l_SW_C05_M03_SENS_SW_C06_CC,120,60,60.0,,M_RING,1392,1512
l_SW_C06_CC_SW_C06_M01_ACT,8,8,0.022727272727272728,0,0.0,l_SW_C06_CC_SW_C06_M01_ACT,540,76,67.5,,M_RING,1392,1932
l_SW_C06_M01_ACT_SW_C06_M01_CTRL,12,12,0.03409090909090909,0,0.0,l_SW_C06_M01_ACT_SW_C06_M01_CTRL,852,78,71.0,,M_RING,1392,2244
l_SW_C06_M01_CTRL_SW_C06_M01_SENS,14,14,0.03977272727272727,0,0.0,l_SW_C06_M01_CTRL_SW_C06_M01_SENS,1012,78,72.28571428571429,,M_RING,1392,2404
l_SW_C06_M01_SENS_SW_C06_M02_ACT,6,6,0.017045454545454544,0,0.0,l_SW_C06_M01_SENS_SW_C06_M02_ACT,388,70,64.66666666666667,,M_RING,1392,1780
l_SW_C06_M02_ACT_SW_C06_M02_CTRL,10,10,0.028409090909090908,0,0.0,l_SW_C06_M02_ACT_SW_C06_M02_CTRL,700,78,70.0,,M_RING,1392,2092
l_SW_C06_M02_CTRL_SW_C06_M02_SENS,12,12,0.03409090909090909,0,0.0,l_SW_C06_M02_CTRL_SW_C06_M02_SENS,872,78,72.66666666666667,,M_RING,1392,2264
l_SW_C06_M02_SENS_SW_C06_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C06_M02_SENS_SW_C06_M03_ACT,248,64,62.0,,M_RING,1392,1640
l_SW_C06_M03_ACT_SW_C06_M03_CTRL,8,8,0.022727272727272728,0,0.0,l_SW_C06_M03_ACT_SW_C06_M03_CTRL,560,78,70.0,,M_RING,1392,1952
l_SW_C06_M03_CTRL_SW_C06_M03_SENS,10,10,0.028409090909090908,0,0.0,l_SW_C06_M03_CTRL_SW_C06_M03_SENS,744,78,74.4,,M_RING,1392,2136
l_SW_C06_M03_SENS_SW_C07_CC,2,2,0.005681818181818182,0,0.0,l_SW_C06_M03_SENS_SW_C07_CC,120,60,60.0,,M_RING,1392,1512
l_SW_C07_CC_SW_C07_M01_ACT,8,8,0.022727272727272728,0,0.0,l_SW_C07_CC_SW_C07_M01_ACT,540,76,67.5,,M_RING,1392,1932
l_SW_C07_M01_ACT_SW_C07_M01_CTRL,12,12,0.03409090909090909,0,0.0,l_SW_C07_M01_ACT_SW_C07_M01_CTRL,852,78,71.0,,M_RING,1392,2244
l_SW_C07_M01_CTRL_SW_C07_M01_SENS,14,14,0.03977272727272727,0,0.0,l_SW_C07_M01_CTRL_SW_C07_M01_SENS,1012,78,72.28571428571429,,M_RING,1392,2404
l_SW_C07_M01_SENS_SW_C07_M02_ACT,6,6,0.017045454545454544,0,0.0,l_SW_C07_M01_SENS_SW_C07_M02_ACT,388,70,64.66666666666667,,M_RING,1392,1780
l_SW_C07_M02_ACT_SW_C07_M02_CTRL,10,10,0.028409090909090908,0,0.0,l_SW_C07_M02_ACT_SW_C07_M02_CTRL,700,78,70.0,,M_RING,1392,2092
l_SW_C07_M02_CTRL_SW_C07_M02_SENS,12,12,0.03409090909090909,0,0.0,l_SW_C07_M02_CTRL_SW_C07_M02_SENS,872,78,72.66666666666667,,M_RING,1392,2264
l_SW_C07_M02_SENS_SW_C07_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C07_M02_SENS_SW_C07_M03_ACT,248,64,62.0,,M_RING,1392,1640
l_SW_C07_M03_ACT_SW_C07_M03_CTRL,8,8,0.022727272727272728,0,0.0,l_SW_C07_M03_ACT_SW_C07_M03_CTRL,560,78,70.0,,M_RING,1392,1952
l_SW_C07_M03_CTRL_SW_C07_M03_SENS,10,10,0.028409090909090908,0,0.0,l_SW_C07_M03_CTRL_SW_C07_M03_SENS,744,78,74.4,,M_RING,1392,2136
l_SW_C07_M03_SENS_SW_C08_CC,2,2,0.005681818181818182,0,0.0,l_SW_C07_M03_SENS_SW_C08_CC,120,60,60.0,,M_RING,1392,1512
l_SW_C08_CC_SW_C08_M01_ACT,8,8,0.022727272727272728,0,0.0,l_SW_C08_CC_SW_C08_M01_ACT,540,76,67.5,,M_RING,1392,1932
l_SW_C08_M01_ACT_SW_C08_M01_CTRL,12,12,0.03409090909090909,0,0.0,l_SW_C08_M01_ACT_SW_C08_M01_CTRL,852,78,71.0,,M_RING,1392,2244
l_SW_C08_M01_CTRL_SW_C08_M01_SENS,14,14,0.03977272727272727,0,0.0,l_SW_C08_M01_CTRL_SW_C08_M01_SENS,1012,78,72.28571428571429,,M_RING,1392,2404
l_SW_C08_M01_SENS_SW_C08_M02_ACT,6,6,0.017045454545454544,0,0.0,l_SW_C08_M01_SENS_SW_C08_M02_ACT,388,70,64.66666666666667,,M_RING,1392,1780
l_SW_C08_M02_ACT_SW_C08_M02_CTRL,10,10,0.028409090909090908,0,0.0,l_SW_C08_M02_ACT_SW_C08_M02_CTRL,700,78,70.0,,M_RING,1392,2092
l_SW_C08_M02_CTRL_SW_C08_M02_SENS,12,12,0.03409090909090909,0,0.0,l_SW_C08_M02_CTRL_SW_C08_M02_SENS,872,78,72.66666666666667,,M_RING,1392,2264
l_SW_C08_M02_SENS_SW_C08_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C08_M02_SENS_SW_C08_M03_ACT,248,64,62.0,,M_RING,1392,1640
l_SW_C08_M03_ACT_SW_C08_M03_CTRL,8,8,0.022727272727272728,0,0.0,l_SW_C08_M03_ACT_SW_C08_M03_CTRL,560,78,70.0,,M_RING,1392,1952
l_SW_C08_M03_CTRL_SW_C08_M03_SENS,10,10,0.028409090909090908,0,0.0,l_SW_C08_M03_CTRL_SW_C08_M03_SENS,744,78,74.4,,M_RING,1392,2136
l_SW_C01_CC_SW_C01_CORE_A;l_SW_C01_CORE_A_SW_FACTORY_CORE_B,8,8,0.022727272727272728,0,0.0,l_SW_C01_CC_SW_C01_CORE_A,0,0,0.0,,M_REDSTAR,1440,1440
l_SW_C01_CC_SW_C01_CORE_B;l_SW_C01_CORE_B_SW_FACTORY_CORE_B,2,2,0.005681818181818182,0,0.0,l_SW_C01_CC_SW_C01_CORE_B,0,0,0.0,,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M01_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C01_CORE_A_SW_C01_M01_ACT,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M01_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M01_ACT;l_SW_C01_CORE_A_SW_C01_M01_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C01_CORE_A_SW_C01_M01_CTRL,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M01_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M02_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C01_CORE_A_SW_C01_M02_ACT,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M02_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M02_ACT;l_SW_C01_CORE_A_SW_C01_M02_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C01_CORE_A_SW_C01_M02_CTRL,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M02_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M03_ACT,4,4,0.011363636363636364,0,0.0,l_SW_C01_CORE_A_SW_C01_M03_ACT,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M03_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_C01_M03_ACT;l_SW_C01_CORE_A_SW_C01_M03_CTRL,6,6,0.017045454545454544,0,0.0,l_SW_C01_CORE_A_SW_C01_M03_CTRL,0,0,0.0,l_SW_C01_CORE_B_SW_C01_M03_ACT,M_REDSTAR,1440,1440
l_SW_C01_CORE_A_SW_FACTORY_CORE_B;l_SW_C02_CORE_B_SW_FACTORY_CORE_B,2,4,0.011363636363636364,2,0.005714285714285714,l_SW_C01_CORE_A_SW_FACTORY_CORE_B,0,0,0.0,l_SW_C01_CORE_A_SW_FACTORY_CORE_A;l_SW_C02_CORE_B_SW_FACTORY_CORE_A;l_SW_C08_CORE_B_SW_FACTORY_CORE_A,M_REDSTAR,1440,1440
l_SW_C01_CORE_B_SW_C01_M01_CTRL;l_SW_C01_CORE_B_SW_C01_M01_SENS,8,8,0.022727272727272728,0,0.0,l_SW_C01_CORE_B_SW_C01_M01_CTRL,0,0,0.0,l_SW_C01_CORE_A_SW_C01_M01_SENS,M_REDSTAR,1440,1440
l_SW_C01_CORE_B_SW_C01_M01_CTRL;l_SW_C01_CORE_B_SW_C01_M01_SENS,8,8,0.022727272727272728,0,0.0,l_SW_C01_CORE_B_SW_C01_M01_SENS,0,0,0.0,l_SW_C01_CORE_A_SW_C01_M01_SENS,M_REDSTAR,1440,1440
