always_HNF,baseline_completion,baseline_success_regressed,empirical_success_fraction,ever_HNF,first_HNF_seed,first_success_seed,flow_id,flow_kind,period_s,rescued_from_baseline_HNF,scenario,seed_HNF_count,seed_success_count
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C06_M03_A1_C06_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C06_M03_A2_C06_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C06_M03_A3_C06_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C06_M03_A4_C06_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M01_A1_C07_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M01_A2_C07_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M01_A3_C07_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M01_A4_C07_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M02_A1_C07_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M02_A2_C07_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M02_A3_C07_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M02_A4_C07_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M03_A1_C07_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M03_A2_C07_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M03_A3_C07_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C07_M03_A4_C07_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M01_A1_C08_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M01_A2_C08_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M01_A3_C08_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M01_A4_C08_M01,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M02_A1_C08_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M02_A2_C08_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M02_A3_C08_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M02_A4_C08_M02,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M03_A1_C08_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M03_A2_C08_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M03_A3_C08_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,CMD_PLC_C08_M03_A4_C08_M03,ControlCommand,0.0005,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C01_PLC_C01_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C01_PLC_C01_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C01_PLC_C01_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C02_PLC_C02_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C02_PLC_C02_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C02_PLC_C02_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C03_PLC_C03_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C03_PLC_C03_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C03_PLC_C03_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C04_PLC_C04_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C04_PLC_C04_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C04_PLC_C04_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,True,0.5,True,0,1,COORD_CC_C05_PLC_C05_M01,MachineCoordination,0.004,False,M_RING,16,16
False,ZERO_SCHEDULED,False,0.5,True,1,0,COORD_CC_C05_PLC_C05_M02,MachineCoordination,0.004,True,M_RING,16,16
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C05_PLC_C05_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C06_PLC_C06_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C06_PLC_C06_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C06_PLC_C06_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C07_PLC_C07_M01,MachineCoordination,0.004,False,M_RING,0,32
