scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
structured30_auto,J020,1,l_sw02_sw08,l_sw08_sw16,l_sw02_sw08;l_sw08_sw16,1.0,0,"[-1.0,0,-2,[""l_sw02_sw08"",""l_sw08_sw16""]]",G0003
structured30_auto,J020,2,l_sw03_sw04,l_sw04_sw05,l_sw03_sw04;l_sw04_sw05,1.0,0,"[-1.0,0,-2,[""l_sw03_sw04"",""l_sw04_sw05""]]",G0004
structured30_auto,J020,3,l_sw09_sw10,l_sw10_sw11,l_sw09_sw10;l_sw10_sw11,1.0,0,"[-1.0,0,-2,[""l_sw09_sw10"",""l_sw10_sw11""]]",G0007
structured30_auto,J020,4,l_sw13_sw14,l_sw14_sw15,l_sw13_sw14;l_sw14_sw15,1.0,0,"[-1.0,0,-2,[""l_sw13_sw14"",""l_sw14_sw15""]]",G0009
structured30_auto,J020,5,l_sw02_sw08;l_sw08_sw16,l_sw16_sw17,l_sw02_sw08;l_sw08_sw16;l_sw16_sw17,1.0,1,"[-1.0,1,-3,[""l_sw02_sw08"",""l_sw08_sw16"",""l_sw16_sw17""]]",G0003
structured30_auto,J020,6,l_sw07_sw13,l_sw13_sw19,l_sw07_sw13;l_sw13_sw19,0.7777777777777778,0,"[-0.7777777777777778,0,-2,[""l_sw07_sw13"",""l_sw13_sw19""]]",G0005
structured30_auto,J020,7,l_sw01_sw02,l_sw02_sw03,l_sw01_sw02;l_sw02_sw03,0.5,0,"[-0.5,0,-2,[""l_sw01_sw02"",""l_sw02_sw03""]]",G0001
structured30_auto,J020,8,l_sw05_sw11,l_sw11_sw17,l_sw05_sw11;l_sw11_sw17,0.5,0,"[-0.5,0,-2,[""l_sw05_sw11"",""l_sw11_sw17""]]",G0006
structured30_auto,J020,9,l_sw09_sw15,l_sw15_sw21,l_sw09_sw15;l_sw15_sw21,0.5,0,"[-0.5,0,-2,[""l_sw09_sw15"",""l_sw15_sw21""]]",G0008
structured30_auto,J020,10,l_sw01_sw07,l_sw01_sw09,l_sw01_sw07;l_sw01_sw09,0.42857142857142855,0,"[-0.42857142857142855,0,-2,[""l_sw01_sw07"",""l_sw01_sw09""]]",G0002
structured30_auto,J020,11,l_sw15_sw23,l_sw23_sw29,l_sw15_sw23;l_sw23_sw29,0.3333333333333333,0,"[-0.3333333333333333,0,-2,[""l_sw15_sw23"",""l_sw23_sw29""]]",G0009
structured30_auto,J020,12,l_sw07_sw13;l_sw13_sw19,l_sw19_sw25,l_sw07_sw13;l_sw13_sw19;l_sw19_sw25,0.3333333333333333,1,"[-0.3333333333333333,1,-3,[""l_sw07_sw13"",""l_sw13_sw19"",""l_sw19_sw25""]]",G0005
structured30_auto,J020,13,l_sw03_sw04;l_sw04_sw05,l_sw03_sw09,l_sw03_sw04;l_sw03_sw09;l_sw04_sw05,0.25,1,"[-0.25,1,-3,[""l_sw03_sw04"",""l_sw03_sw09"",""l_sw04_sw05""]]",G0004
structured30_auto,J020,14,l_sw09_sw10;l_sw10_sw11,l_sw21_sw27,l_sw09_sw10;l_sw10_sw11;l_sw21_sw27,0.25,3,"[-0.25,3,-3,[""l_sw09_sw10"",""l_sw10_sw11"",""l_sw21_sw27""]]",G0007
structured30_auto,J020,15,l_sw05_sw07,l_sw07_sw13;l_sw13_sw19;l_sw19_sw25,l_sw05_sw07;l_sw07_sw13;l_sw13_sw19;l_sw19_sw25,0.2,2,"[-0.2,2,-4,[""l_sw05_sw07"",""l_sw07_sw13"",""l_sw13_sw19"",""l_sw19_sw25""]]",G0005
structured30_auto,J020,16,l_sw13_sw14;l_sw14_sw15,l_sw15_sw23;l_sw23_sw29,l_sw13_sw14;l_sw14_sw15;l_sw15_sw23;l_sw23_sw29,0.2,2,"[-0.2,2,-4,[""l_sw13_sw14"",""l_sw14_sw15"",""l_sw15_sw23"",""l_sw23_sw29""]]",G0009
